lon,lat,owner,watershed,type,form
-71.11381367170,42.40290935950,,IN-4285,STORM WATER INLET,
-71.11462833680,42.40381753910,,IN-3725,STORM WATER INLET,
-71.11450998290,42.40383743770,,IN-3726,STORM WATER INLET,
-71.11468247010,42.40388979840,,IN-3724,STORM WATER INLET,
-71.11459366190,42.40394922370,,IN-3993,STORM WATER INLET,
-71.11555217320,42.40522725580,,IN-3722,STORM WATER INLET,
-71.11582474590,42.40559098520,,IN-4002,STORM WATER INLET,
-71.11598142270,42.40563170460,,IN-3721,STORM WATER INLET,
-71.11785186390,42.40846384560,,IN-2851,STORM WATER INLET,
-71.11773250180,42.40853307040,,IN-2852,STORM WATER INLET,
-71.11858705660,42.40922018440,,IN-2850,STORM WATER INLET,
-71.11968399140,42.41013488440,,IN-2847,STORM WATER INLET,
-71.11967473050,42.41029681360,,IN-2849,STORM WATER INLET,
-71.12019597410,42.41048738670,,IN-2858,STORM WATER INLET,
-71.12030902240,42.41069238000,,IN-2844,STORM WATER INLET,
-71.12058198940,42.41072385260,,IN-2860,STORM WATER INLET,
-71.12051057190,42.41081787340,,IN-2859,STORM WATER INLET,
-71.12096864600,42.41096607560,,IN-2863,STORM WATER INLET,
-71.12204393000,42.41163824770,,IN-3043,STORM WATER INLET,
-71.12189347120,42.41167985850,,IN-3042,STORM WATER INLET,
-71.12230621560,42.41181246310,,IN-3045,STORM WATER INLET,
-71.12221406780,42.41188929370,,IN-3044,STORM WATER INLET,
-71.12368945580,42.41273572990,,IN-3046,STORM WATER INLET,
-71.12439153320,42.41318931430,,IN-2510,STORM WATER INLET,
-71.12503602880,42.41361510250,,IN-2507,STORM WATER INLET,
-71.12573519140,42.41407711090,,IN-2505,STORM WATER INLET,
-71.12569150620,42.41418677630,,IN-3047,STORM WATER INLET,
-71.12652439010,42.41459827790,,IN-2406,STORM WATER INLET,
-71.12709977050,42.41497840120,,IN-2407,STORM WATER INLET,
-71.12766161380,42.41534504390,,IN-2387,STORM WATER INLET,
-71.13081492790,42.41743243890,,IN-945,STORM WATER INLET,
-71.13072293700,42.41751191000,,IN-946,STORM WATER INLET,
-71.13152004620,42.41790291750,,IN-829,STORM WATER INLET,
-71.13141596340,42.41796971420,,IN-830,STORM WATER INLET,
-71.13232321050,42.41843354610,,IN-950,STORM WATER INLET,
-71.13292179410,42.41878262280,,IN-838,STORM WATER INLET,
-71.13301174530,42.41896219300,,IN-747,STORM WATER INLET,
-71.13383465360,42.41930634500,,IN-951,STORM WATER INLET,
-71.13376219500,42.41939347350,,IN-952,STORM WATER INLET,
-71.13447225020,42.41967232330,,IN-2927,STORM WATER INLET,
-71.13549381870,42.42026306410,,IN-941,STORM WATER INLET,
-71.13540789960,42.42034220160,,IN-938,STORM WATER INLET,
-71.13613916790,42.42063420810,,IN-940,STORM WATER INLET,
-71.13605313730,42.42071334750,,IN-939,STORM WATER INLET,
-71.10123681840,42.39741704900,,IN-4207,STORM WATER INLET,
-71.10128874170,42.39752521660,,IN-4205,STORM WATER INLET,
-71.10262884970,42.39795115600,,IN-4208,STORM WATER INLET,
-71.10336236790,42.39816743830,,IN-4193,STORM WATER INLET,
-71.10392204330,42.39935611500,,IN-4199,STORM WATER INLET,
-71.10381703460,42.39937355300,,IN-4198,STORM WATER INLET,
-71.10433820550,42.40024315980,,IN-4258,STORM WATER INLET,
-71.10421702710,42.40024521440,,IN-4257,STORM WATER INLET,
-71.11395870380,42.40498513720,,IN-3969,STORM WATER INLET,
-71.11204132600,42.40574428730,,IN-4311,STORM WATER INLET,
-71.11208714170,42.40580208210,,IN-4312,STORM WATER INLET,
-71.10514948130,42.40765706100,,IN-3947,STORM WATER INLET,
-71.10502698970,42.40768309350,,IN-3800,STORM WATER INLET,
-71.10520458000,42.40771359120,,IN-3801,STORM WATER INLET,
-71.10505408490,42.40774805880,,IN-3946,STORM WATER INLET,
-71.10383364830,42.40794467420,,IN-3798,STORM WATER INLET,
-71.09055196490,42.43254375350,,IN-1460,STORM WATER INLET,
-71.13084023190,42.41878446600,,IN-835,STORM WATER INLET,
-71.13087806890,42.41889166680,,IN-836,STORM WATER INLET,
-71.13110841220,42.41897133760,,IN-737,STORM WATER INLET,
-71.13138022780,42.41916307280,,IN-741,STORM WATER INLET,
-71.13263408530,42.42006076960,,IN-742,STORM WATER INLET,
-71.13257096300,42.42008772310,,IN-743,STORM WATER INLET,
-71.13343827660,42.42051451980,,IN-839,STORM WATER INLET,
-71.13338566280,42.42056586770,,IN-840,STORM WATER INLET,
-71.13358934690,42.42058037140,,IN-841,STORM WATER INLET,
-71.11424485900,42.41988810480,,IN-1015,STORM WATER INLET,
-71.11380850970,42.42154393780,,IN-1014,STORM WATER INLET,
-71.09820275140,42.43782185730,,IN-1265,STORM WATER INLET,
-71.09844949940,42.43803574750,,IN-122,STORM WATER INLET,
-71.09835702820,42.43805133460,,IN-121,STORM WATER INLET,
-71.08266181920,42.40773388280,,IN-2251,STORM WATER INLET,
-71.08270762550,42.40778906950,,IN-2250,STORM WATER INLET,
-71.08212209150,42.40930068490,,IN-2244,STORM WATER INLET,
-71.08192060310,42.40985571510,,IN-2241,STORM WATER INLET,
-71.08200703150,42.40986925590,,IN-2240,STORM WATER INLET,
-71.08173404300,42.41062190990,,IN-2228,STORM WATER INLET,
-71.08167436270,42.41078720210,,IN-2231,STORM WATER INLET,
-71.08138011860,42.41134344430,,IN-2205,STORM WATER INLET,
-71.08146609540,42.41135850440,,IN-2206,STORM WATER INLET,
-71.08124138580,42.41198292410,,IN-2189,STORM WATER INLET,
-71.08111119780,42.41208922070,,IN-2188,STORM WATER INLET,
-71.11068872560,42.41861717430,,IN-1105,STORM WATER INLET,
