OBJECTID,Facility ID,Install Date,Inlet Type,Access Diameter,Invert Elevation,Access Material,Access Type,Enabled,Active Flag,Owned By,Managed By,Last Update Date,Last Editor,AncillaryRole,DrainArea,StreetName,GlobalID,x,y
416,9-cb-1371,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,9,PLEASANT STREET,abc97b44-8afe-471d-9d6c-f120baa399ce,-71.1949749362498,42.3680043561367
417,9-cb-1375,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,9,PLEASANT STREET,d2af1f9a-128d-4c24-9cf8-341c63552393,-71.1940435848464,42.36758064394
418,9-cb-1377,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,9,PLEASANT STREET,6ac999c3-0bf6-4a72-802f-8ed05c34be70,-71.1940978737734,42.3675102772919
419,9-cb-1378,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,9,PLEASANT STREET,e4f7054a-3d53-4a0b-b2f4-6f1971b91549,-71.1933791178886,42.3671663029032
420,9-cb-1380,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,9,PLEASANT STREET,5bc30c16-8fae-43b6-8b84-cea677ea6a57,-71.1933240870868,42.367231577042
421,9-cb-1382,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,9,PLEASANT STREET,43a3ad1e-c360-4f35-bb24-fc47a3a6e402,-71.1928468701677,42.3668906954
422,11-cb-1384,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,11,PLEASANT STREET,e072af98-5db2-453d-9092-2a7fbd12de28,-71.1899929408162,42.3660150058107
423,11-cb-1389,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,11,PLEASANT STREET,34707804-90ff-428b-a1fb-d6c70fc27bec,-71.1874062018758,42.3661696003249
424,11-cb-1390,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,11,PLEASANT STREET,19c1541f-1ed2-440a-b540-51a0f9f06618,-71.1860629123774,42.3659866476961
425,11-cb-1391,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,11,PLEASANT STREET,a588fa80-6873-4674-9607-9ee2c8cc5d44,-71.1860996580939,42.3659162233896
426,11-cb-1392,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,11,PLEASANT STREET,d091ed07-805e-4ad9-bb45-9c2234821232,-71.1856452333362,42.3658723467133
427,11-cb-1393,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,11, ,e465097e-552c-401b-8451-b3f6cd1280e5,-71.185673059595,42.3658110621471
