FID,OBJECTID,ANCILLARYR,ENABLED,SUBTYPEFIE,FACILITYID,SYMBOLROTA,LIFECYCLES,WATERTYPE,INSTALLDAT,SURFACEELE,LASTEDITOR,LASTEDITDA,COMMENTS,OWNER,ARCFMID,HISTORICAL,FRAMEMATER,ACCESSMATE,WALLMATERI,GRATETYPE,DEPTH,INVERTELEV,ADDRESS,COATINGTYP,HOODED,CURBINLET,NORMENABLE,SOURCE1,LastCleanD,DEEP,x,y
146,1222,0,1,3,D22CBN4713,4,IS,STORM,1/1/1753 12:00:00 AM,999, ,, ,CDPW,SCB000005296, ,STL,STL, ,OTH,0,999,ON MELLEN AT OXFORD-RIGHT,UNK,0,0,0, ,7/21/08 0:00, ,-71.11652754,42.38072263
147,1223,0,1,1,D41CBN4645,48,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000005122, , , , ,D,0,999,2245 MASS AVE.,UNK,1,1,0, ,7/21/11 0:00,Y,-71.12651878,42.39422336
156,1240,0,1,1,D37CBN5606,10,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000005360, , , , ,F,0,999,36.5 ROBERTS RD,UNK,1,1,0, ,9/20/11 0:00,Y,-71.10827521,42.37688194
159,1251,0,1,1,D29CBN1961,4,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00,NEEDS JETTER,CDPW,SCB000004423, , , , ,D,0,999,1763 MASS AVE,UNK,0,1,0, ,7/18/11 0:00,Y,-71.11922356,42.38530457
160,1253,0,1,1,D29CBN1975,4,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00,REPAIR,CDPW,SCB000004444, , , , ,D,0,999,1783 MASS AVE,UNK,0,1,0, ,7/18/11 0:00,Y,-71.11915585,42.38590735
161,1254,0,1,1,D29CBN1971,4,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00,REPAIR / JET,CDPW,SCB000004445, , , , ,D,0,999,1775 MASS AVE,UNK,0,1,0, ,7/18/11 0:00,Y,-71.1191639,42.385764
173,1269,0,1,1,D22CBN3603,8,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000005424, , , , ,D,0,999,121 TROBRIDGE,UNK,1,0,0, ,9/20/11 0:00,Y,-71.10960039,42.37703119
174,1270,0,1,1,D22CBN2607,10,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000005428, , , , ,D,0,999,312 IRVING TERRACE,UNK,0,0,0, ,9/20/11 0:00,Y,-71.11128984,42.37579865
175,1271,0,1,3,D22CBN3304,10,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000005429, ,STL,STL, ,OTH,0,999,36 IRVING ST,UNK,0,0,0, ,9/20/11 0:00, ,-71.11076016,42.37624414
180,1278,0,1,1,D22CBN4403,51,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000005371, , , , ,F,0,999,31 MYRTLE AVE,UNK,1,0,0, ,10/18/11 0:00,Y,-71.10727137,42.37742801
