OBJECTID,FEATURE_TY,SOURCE,TYPE,X_COORD,Y_COORD,EDITDATE,EDITBY,EDITWHY,BMPNOTES,StrucIDnum,PublicOwne,DudeID,Longitude,Latitude
"298",CBN,,CBN,744642.250000000000000,3002459.000000000000000,,,,,"275",yes,DStr275,-71.17198260,42.48644861
"299",CBN,,CBN,744642.187500000000000,3005563.750000000465661,,,,,"276",yes,DStr276,-71.17193860,42.49496791
"301",CBN,,CBN,744617.187500000000000,3003198.250000000000000,,,,,"278",yes,DStr278,-71.17206500,42.48847734
"302",CBN,,CBN,744615.937500000000000,3010816.250000000000000,,,,,"279",yes,DStr279,-71.17196100,42.50938076
"304",CBN,,CBN,744603.312500000000000,3002573.250000000000000,,,,,"281",yes,DStr281,-71.17212530,42.48676252
"306",CBN,,CBN,744593.187500000000000,3010823.500000000000000,,,,,"283",yes,DStr283,-71.17204530,42.50940089
"307",CBN,,CBN,744591.375000000000000,3003183.500000000000000,,,,,"284",yes,DStr284,-71.17216090,42.48843714
"310",CBN,,CBN,744575.875000000000000,3010665.750000000000000,,,,,"287",yes,DStr287,-71.17211170,42.50896822
"312",CBN,,CBN,744569.312500000000000,3010734.750000000000000,,,,,"289",yes,DStr289,-71.17213510,42.50915762
"313",CBN,,CBN,744563.812500000000000,3002581.750000000000000,,,,,"290",yes,DStr290,-71.17227170,42.48678626
"315",CBN,,CBN,744561.125000000000000,3005783.500000000000000,,,,,"292",yes,DStr292,-71.17223600,42.49557175
"316",CBN,,CBN,744542.937500000116415,3005803.750000000465661,,,,,"293",yes,DStr293,-71.17230320,42.49562751
"318",CBN,,CBN,744524.375000000000000,3005114.750000000000000,,,,,"295",yes,DStr295,-71.17238180,42.49373712
"319",CBN,,CBN,744522.562500000000000,3004807.750000000000000,,,,,"296",yes,DStr296,-71.17239290,42.49289474
"320",CBN,,CBN,744517.500000000000000,3005167.000000000000000,,,,,"297",yes,DStr297,-71.17240660,42.49388056
"322",CBN,,CBN,744504.812500000000000,3004828.500000000000000,,,,,"299",yes,DStr299,-71.17245840,42.49295187
"323",CBN,,CBN,744502.187500000000000,3005140.500000000000000,,,,,"300",yes,DStr300,-71.17246370,42.49380801
"324",CBN,,CBN,744501.750000000000000,3010391.750000000000000,,,,,"301",yes,DStr301,-71.17239050,42.50821716
"325",CBN,,CBN,744494.250000000000000,3003801.750000000000000,,,,,"302",yes,DStr302,-71.17251220,42.49013462
"327",CBN,,CBN,744478.437500000000000,3010397.750000000000000,,,,,"304",yes,DStr304,-71.17247690,42.50823387
"328",CBN,,CBN,744472.375000000000000,3003775.250000000000000,,,,,"305",yes,DStr305,-71.17259370,42.49006214
"330",CBN,,CBN,744443.187500000000000,3002822.000000000000000,,,,,"307",yes,DStr307,-71.17271540,42.48744676
"332",CBN,,CBN,744419.437500000000000,3002807.500000000000000,,,,,"309",yes,DStr309,-71.17280370,42.48740723
