p_id,p_facility,p_inlettyp,p_in_typ_o,p_locdesc,p_ownedby,p_legacy_i,p_cvtype,p_cv_typ_o,p_cvshape,p_cv_shp_o,p_cvmateri,p_cv_mat_o,p_cvsize,p_oilhood,p_framemat,p_frm_mat_,p_chimney,p_chimydia,p_chimymat,p_chm_mat_,p_conetype,p_con_typ_,p_conemate,p_con_mat_,p_wallmat,p_wal_mat_,p_bench,p_benchmat,p_ben_mat_,p_channel,p_chanmate,p_chn_mat_,p_chanexpo,p_rimelev,p_inv_dept,p_invertel,p_sump_dep,p_fin_dept,p_installd,p_maintby,p_lastupda,p_lastedit,p_plans,p_comments,p_elevatio,p_map_date,p_mapped_b,p_map_by_o,p_map_meth,p_map_met_,p_map_stat,p_rotation,p_conditio,p_flow,p_activefl,p_enabled,p_operable,p_keyjncti,p_anclryro,p_division,p_asset,p_st_cntr_,Longitude,Latitude
67170,CB-5607,Catchbasin,,None,City,dCB_5730,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1/1/70,City,3/8/22,MSB,,,,1/1/70,,,Aerial Photo,,,,,,,,,,,HIGHWAY,Stormwater,,-71.17705043,42.4635621
67183,CB-5620,Catchbasin,,6 GRANT ST,City,dCB_5743,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,,,1/1/70,City,3/8/22,MSB,,,198,1/1/70,,,Aerial Photo,,,-215.9721879,,,,,,,,HIGHWAY,Stormwater,5187,-71.20256042,42.46085264
67201,CB-5630,Catchbasin,,14 GRANT ST,City,dCB_5753,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.6,,,,,1/1/70,City,3/8/22,MSB,,,194.6000061,1/1/70,,,Aerial Photo,,,-39.03607547,,,,,,,,HIGHWAY,Stormwater,5187,-71.20371314,42.46174844
67233,CB-6593,Catchbasin,,Shamrock,City,,,,,,,,,,,,,,,,,,,,Precast Concrete,,,,,,,,,126.9,,,,,1/17/01,City,3/8/22,MSB,,,126.9,1/1/70,,,,,,,,,,,,,,HIGHWAY,Stormwater,,-71.14043501,42.47701484
67244,CB-5657,Catchbasin,,253 LEXINGTON ST,City,dCB_5780,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.3,,,,,1/1/70,City,3/8/22,MSB,,,119.3000031,1/1/70,,,Aerial Photo,,,63.42316622,,,,,,,,HIGHWAY,Stormwater,5207,-71.1793379,42.46156214
67249,CB-5662,Catchbasin,,272 LEXINGTON ST,City,dCB_5785,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.9,,,,,1/1/70,City,3/8/22,MSB,,,133.8999939,1/1/70,,,Aerial Photo,,,-88.09735792,,,,,,,,HIGHWAY,Stormwater,6248,-71.17993344,42.46039791
67113,CB-5562,Catchbasin,,6 FORTUNE RD,City,dCB_5686,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.4,4,165.4,0,4,1/1/70,City,3/8/22,MSB,,,169.3999939,1/1/70,,,Aerial Photo,,,-83.99829051,,,,,,,,HIGHWAY,Stormwater,5630,-71.1918963,42.46216225
66979,CB-5454,Catchbasin,,1 LIANA ST,City,dCB_5571,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.5,2,196.5,3,5,1/1/70,City,3/8/22,MSB,,Tagged,198.5,1/1/70,,,Aerial Photo,,,-58.14022892,,,,,,,,HIGHWAY,Stormwater,6098,-71.19699547,42.46424593
67266,CB-5677,Catchbasin,,2 MORNINGSIDE CIR,City,dCB_5800,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,3,90,2,5,1/1/70,City,3/8/22,MSB,,,93,1/1/70,,,Aerial Photo,,,-226.1535202,,,,,,,,HIGHWAY,Stormwater,4755,-71.17363436,42.46162291
67038,CB-5516,Catchbasin,,5 CRAWFORD DR,City,dCB_5639,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9,4,82.9,0,4,1/1/70,City,3/8/22,MSB,,,86.90000152,1/1/70,,,Aerial Photo,,,20.88920451,,,,,,,,HIGHWAY,Stormwater,5161,-71.17359539,42.46446047
67083,CB-6352,Catchbasin,,RUSSELL ST,City,dCB_6397,,,,,,,,,,,,,,,,,,,Precast Concrete,,,,,,,,,0,3,,0,3,1/1/70,City,3/8/22,MSB,,,,1/1/70,,,,,,-167.8827306,,,,,,,,HIGHWAY,Stormwater,5674,-71.19442593,42.46534383
67056,CB-5534,Catchbasin,,8 HALLMARK DR,City,dCB_5657,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.3,3,194.3,1,4,1/1/70,City,3/8/22,MSB,,,197.3000031,1/1/70,,,Aerial Photo,,,-35.87919039,,,,,,,,HIGHWAY,Stormwater,5816,-71.20085611,42.46314708
67052,CB-5530,Catchbasin,,538 RUSSELL ST,City,dCB_5653,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.6,4,205.6,1,5,1/1/70,City,3/8/22,MSB,,,209.6000061,1/1/70,,,Aerial Photo,,,-126.6587826,,,,,,,,HIGHWAY,Stormwater,6100,-71.19944514,42.46218438
67005,CB-5481,Catchbasin,,198 RUSSELL ST,City,dCB_5604,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.5,3,145.5,3,6,1/1/70,City,3/8/22,MSB,,,148.5,6/7/17,,,Aerial Photo,,,31.2102068,,,,,,,,HIGHWAY,Stormwater,5196,-71.18565348,42.4647996
66152,CB-4502,Catchbasin,,1 LEONARD ST,City,dCB_4612,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,3,124,2,5,1/1/70,City,3/8/22,MSB,,,127,11/17/17,,,Aerial Photo,,,-62.38467779,,,,,,,,HIGHWAY,Stormwater,4987,-71.1416886,42.47578624
67097,CB-6363,Catchbasin,,BRENTWOOD ROAD,City,dCB_6890,,,,,,,,,,,,,,,,,,,Precast Concrete,,,,,,,,,0,4,,1,5,1/1/70,City,3/8/22,MSB,,DRYWELL,,1/1/70,,,Other,,,16.6165801,,,,,,,,HIGHWAY,Stormwater,6091,-71.15120424,42.49650765
67274,CB-5685,Catchbasin,,8 NEW VILLAGE RD,City,dCB_5808,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.4,1,111.4,2,3,1/1/70,City,3/8/22,MSB,,,112.4000015,1/1/70,,,Aerial Photo,,,54.0165446,,,,,,,,HIGHWAY,Stormwater,5195,-71.17423428,42.46109949
