X,Y,OBJECTID,Subtype,FacilityID,InstallDat,LifecycleS,WaterType,PlanNum,Owner,Comments,AccessDiam,AccessMate,AccesType,Station,RimElevati,FieldBook,Invert,Plan1,Plan2,Plan3,FeatureID,DupeNum,Source,OrthoUpdated,GlobalID,created_user,created_date,last_edited_user,last_edited_date,Dewb_Edited
-71.0810022010373,42.3784874345899,"2912",,SW-CB-01621,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{D09A2E4A-F805-42E2-98DE-BEFD73A323B6},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0992629693067,42.3772405722545,"2913",,SW-CB-02535,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{8A84B807-15C3-4C84-ADD8-2E7D29FF910E},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1261897067697,42.3986887949261,"2914",,SW-CB-03037,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{447431C5-D8B3-43AD-940A-177C816C7C45},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1116409099967,42.3977621050863,"2915",,SW-CB-03504,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{4ED691F6-067A-4BDC-8FE4-FDEE9F9BCB51},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0846317672905,42.3933598464792,"2916",,SW-CB-03581,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{855DD73D-CD6D-407D-8702-D483C8C36BEE},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,"1"
-71.0971989763416,42.3766869055703,"2917",,SW-CB-02483,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{C5920815-7000-4C76-9BAC-B54A57891301},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.087243845376,42.3773371155081,"2918","1",SW-CB-00570,1957/03/01 00:00:00,Proposed,Storm,NA,Somerv,DATA FROM SOMERVILLE HOUSING AUTHORITY,"9999",Unk,Unk,"9999",9999, ,9999,NA,,,CB-SD-571,"1",Original City Data,Yes,{5E4EF536-A13C-45EA-9BC9-A85CB8139E43},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0971446424032,42.3892496158659,"2919",,SW-CB-02676,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{8E99D651-A1E0-4921-842E-98A34B4A9937},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.100467281758,42.3816864040211,"2920",,SW-CB-00702,,,,,,,,,,,,,,,,,,,Stantec,Yes,{4373059F-2CAF-4C51-A0AD-266393B8F884},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0953297777907,42.3996981897039,"2921",,SW-CB-02000,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{A76B092C-8840-4E4C-9D55-68EFE6DC789A},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
