FID,facilityid,inlettype,in_typ_ot,locdesc,ownedby,legacy_id,cvtype,cv_typ_ot,cvshape,cv_shp_ot,cvmaterial,cv_mat_ot,cvsize,oilhood,framemater,frm_mat_ot,chimney,chimydia,chimymater,chm_mat_ot,conetype,con_typ_ot,conemater,con_mat_ot,wallmat,wal_mat_ot,bench,benchmater,ben_mat_ot,channel,chanmater,chn_mat_ot,chanexposr,rimelev,inv_depth,invertelev,sump_depth,fin_depth,installdat,maintby,lastupdate,lasteditor,plans,comments,pt_geom_x_,pt_geom_y_,elevation,map_date,mapped_by,map_by_ot,map_method,map_met_ot,map_status,rotation,condition,flow,activeflag,enabled,operable,keyjnction,anclryrole,division,asset,st_cntr_id,Longitude,Latitude
2425,swIN-3714,Double Catchbasin, , ,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,0,0,1/1/70 0:00,0,1/1/70 0:00, , , ,747248.7339,2978351.706, ,6/25/18 0:00,Town, ,Aerial Photo, ,Final,0, , ,0,0,0, ,0,HIGHWAY,Stormwater,0,-71.16267877,42.42025436
2426,swIN-3715,Catchbasin, , ,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,0,0,1/1/70 0:00,0,1/1/70 0:00, , , ,747166.6331,2978234.483, ,6/25/18 0:00,Town, ,Aerial Photo, ,Final,0, , ,0,0,0, ,0,HIGHWAY,Stormwater,0,-71.16298454,42.41993359
2427,swIN-3716,Catchbasin, ,1138 MASS AVE,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,3.1,0,2.01,5.11,1/1/70 0:00,0,1/1/70 0:00, , , ,744332.0821,2979091.19, ,6/25/18 0:00,Town, ,Aerial Photo, ,Final,-136.966523, , ,0,0,0, ,0,HIGHWAY,Stormwater,1668,-71.17347,42.42231466
2428,swIN-3717,Catchbasin, ,32 FESSENDEN RD,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,3.1,0,3,6.1,1/1/70 0:00,0,1/1/70 0:00, , , ,744068.5,2978812.2, ,6/25/18 0:00,Town, ,Aerial Photo, ,Final,46.42223492, , ,0,0,0, ,0,HIGHWAY,Stormwater,1668,-71.17445014,42.42155188
2429,swIN-3718,Double Catchbasin, ,334 GRAY ST,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,2.9,0,4,6.9,1/1/70 0:00,0,1/1/70 0:00, , , ,743701.4,2977774.6, ,6/25/18 0:00,Town, ,Aerial Photo, ,Final,-34.17894687, , ,0,0,0, ,0,HIGHWAY,Stormwater,1336,-71.17582432,42.41870855
2430,swIN-3719,Double Catchbasin, ,11 FARMER RD,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,3,0,3,6,1/1/70 0:00,0,1/1/70 0:00, , , ,744210.9,2978231.1, ,6/25/18 0:00,Town, ,Aerial Photo, ,Final,-230.503837, , ,0,0,0, ,0,HIGHWAY,Stormwater,648,-71.17393099,42.41995585
2431,swIN-3720,Catchbasin, ,96 PARK AVENUE EXT,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,2,0,1.9,3.9,1/1/70 0:00,0,1/1/70 0:00, , , ,742963.09,2981517.705, ,10/4/18 0:00,Town, ,Tablet, ,Final,-134.3567202, , ,0,0,0, ,0,HIGHWAY,Stormwater,1114,-71.17850629,42.42898727
2432,swIN-3721,Catchbasin, ,96 PARK AVENUE EXT,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,2.4,-3.1,1.9,4.3,1/1/70 0:00,0,1/1/70 0:00, , , ,742981.2477,2981503.343, ,1/1/70 0:00,Town, ,Tablet, ,Final,-134.3567202, , ,0,0,0, ,0,HIGHWAY,Stormwater,1114,-71.17843923,42.42894768
2435,swIN-3724,Catchbasin, ,71 MEDFORD ST,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,3.6,0,4.4,8,1/1/70 0:00,0,1/1/70 0:00, , , ,751289.6,2977069.5, ,6/27/18 0:00,Town, ,Aerial Photo, ,Final,-213.0106251, , ,0,0,0, ,0,HIGHWAY,Stormwater,1751,-71.14773321,42.41669116
2436,swIN-3725,Catchbasin, ,81 MEDFORD ST,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,3,0,5.6,8.6,1/1/70 0:00,0,1/1/70 0:00, , , ,751320.1949,2977106.45, ,6/27/18 0:00,Town, ,Aerial Photo, ,Final,-213.0106251, , ,0,0,0, ,0,HIGHWAY,Stormwater,1751,-71.14761934,42.4167922
