OBJECTID,AncillaryR,Enabled,Subtype,Administra,FacilityID,InstallDat,LocationDe,Operationa,Rotation,LifecycleS,WorkorderI,Elevation,ElevationS,WaterType,AccessDiam,AccessMate,AccesType,Invert,InvertElev,Source,Inline,LocationMe,Completed,Comment,WSE_GPS_ID,Owner,Latitude,Longitude
298,,1,1,,,,,,346.9447632,Active,,8.010000229,,Storm,24,Steel,Grate,,,AERIALS,,,,,444,CHELSEA,42.38671733,-71.02481581
299,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,445,CHELSEA,42.38697868,-71.02666661
300,,1,1,,,,,,0,Abandoned,,,,Storm,24,Steel,Grate,,,,,,,,446,CHELSEA,42.38702409,-71.02692732
301,,1,1,,,,,,45.37943649,Active,,8.380000114,,Storm,24,Steel,Grate,,,AERIALS,,,,,447,CHELSEA,42.38679693,-71.02426871
302,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,448,CHELSEA,42.38653664,-71.02367123
305,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,Chelsea RD,,DIGI,,,450,CHELSEA,42.3924213,-71.03198789
307,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,451,CHELSEA,42.38937737,-71.02552133
308,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,452,CHELSEA,42.38947418,-71.02564307
309,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,453,CHELSEA,42.38931479,-71.02522065
310,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,454,CHELSEA,42.38913747,-71.02507781
314,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,455,CHELSEA,42.38932272,-71.02453655
315,,1,1,,,,,,0,Active,,0,,Storm,24,Steel,Grate,,,,,,,,456,CHELSEA,42.38949782,-71.02497257
316,,1,1,,,,,,0,Active,,0,,Storm,24,Steel,Grate,,,,,,,,457,CHELSEA,42.38959555,-71.02477507
317,,1,1,,,,,,0,Active,,0,,Storm,24,Steel,Grate,,,,,,,,458,CHELSEA,42.38959555,-71.02477507
319,,1,1,,,,,,12.2883234,Active,,9.659999847,,Storm,24,Steel,Grate,,,AERIALS,,,,,460,CHELSEA,42.38569312,-71.02708494
320,,1,1,,,,,,294.6768494,Active,,10.14999962,,Storm,24,Steel,Grate,,,AERIALS,,,,,461,CHELSEA,42.38720339,-71.02336387
321,,1,1,,,,,,295.7693176,Active,,10.02000046,,Storm,24,Steel,Grate,,,AERIALS,,,,,462,CHELSEA,42.3872611,-71.02319671
322,,1,1,,,,,,295.1148376,Active,,8.819999695,,Storm,24,Steel,Grate,,,AERIALS,,,,,463,CHELSEA,42.3875085,-71.02335527
1219,,1,1,,,00:00.0,,,0,Active,,,,Storm,24,Steel,Grate,,,,,DIGI,,,829,CHELSEA,42.39703047,-71.03619073
1220,,1,1,,,00:00.0,,,0,Active,,,,Storm,24,Steel,Grate,,,,,DIGI,,,830,CHELSEA,42.39699699,-71.03628932
323,,1,1,,,,,,62.66764069,Active,,8.239999771,,Storm,24,Steel,Grate,,,GPS,,,,,464,CHELSEA,42.38704813,-71.02409474
324,,1,1,,,,,,72.11071014,Active,,7.659999847,,Storm,24,Steel,Grate,,,GPS,,,,,465,CHELSEA,42.38710011,-71.02402507
325,,1,1,,,,,,72.1811142,Active,,9.409999847,,Storm,24,Steel,Grate,,,GPS,,,,,466,CHELSEA,42.38711233,-71.02383571
326,,1,1,,,,,,53.05910492,Active,,9.770000458,,Storm,24,Steel,Grate,,,AERIALS,,,,,467,CHELSEA,42.38681684,-71.02407743
327,,1,1,,,,,,0,Active,,8.460000038,,Storm,24,Steel,Grate,,,AERIALS,,,,,468,CHELSEA,42.38705178,-71.02441737
328,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,469,CHELSEA,42.3870752,-71.0246679
329,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,470,CHELSEA,42.38696729,-71.02468811
330,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,471,CHELSEA,42.38721427,-71.02499088
331,,1,1,,,,,,0,Active,,,,Storm,24,Steel,Grate,,,,,,,,472,CHELSEA,42.3872244,-71.02408012
334,,1,1,,,,,,77.14588165,Active,,9.590000153,,Storm,24,Steel,Grate,,,AERIALS,,,,,473,CHELSEA,42.38791154,-71.02347879
335,,1,1,,,,,,77.36663818,Active,,9.93999958,,Storm,24,Steel,Grate,,,GPS,,,,,474,CHELSEA,42.38800372,-71.023639
336,,1,1,,,,,,79.74583435,Active,,9.600000381,,Storm,24,Steel,Grate,,,AERIALS,,,,,475,CHELSEA,42.38894081,-71.02396769
337,,1,1,,,,,,74.96547699,Active,,8.380000114,,Storm,24,Steel,Grate,,,AERIALS,,,,,476,CHELSEA,42.38887337,-71.02381143
338,,1,1,,,,,,74.42745972,Active,,7.599999905,,Storm,24,Steel,Grate,,,AERIALS,,,,,477,CHELSEA,42.38868839,-71.02365209
