FID,OBJECTID,AncillaryR,Enabled,Subtype,FacilityID,InstallDat,Rotation,LifecycleS,WaterType,PlanNum,Owner,CatchArea,Comments,AccessDiam,AccessMate,AccesType,Station,RimElevati,FieldBook,Invert,x,y
523,547,0,1,0, ,11/1/1977 12:00:00 AM,0,Proposed,Storm,TB-035,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1251531507515,42.3955896691853
524,548,0,1,0, ,11/1/1977 12:00:00 AM,0,Proposed,Storm,TB-035,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1246622902221,42.395992053936
525,549,0,1,0, ,11/1/1977 12:00:00 AM,0,Active,Storm,TB-035,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1245906428492,42.395934652274
526,550,0,1,0, ,9/9/9999 12:00:00 AM,0,Active,Storm,TB-037,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.112784708315,42.3939031667477
527,551,0,1,0, ,9/9/9999 12:00:00 AM,0,Active,Storm,TB-037,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1128500783454,42.3938340936881
528,552,0,1,0, ,9/9/9999 12:00:00 AM,0,Active,Storm,TB-037,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1140542141694,42.3942727755108
529,553,0,1,0, ,9/9/9999 12:00:00 AM,0,Active,Storm,TB-037,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.114446445988,42.3944541663681
530,554,0,1,0, ,9/9/9999 12:00:00 AM,0,Active,Storm,TB-037,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.114801232577,42.3944524993397
531,555,0,1,0, ,9/9/9999 12:00:00 AM,0,Active,Storm,TB-037,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1155212922922,42.3946264114277
532,556,0,1,0, ,9/9/9999 12:00:00 AM,0,Active,Storm,TB-037,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1162645799807,42.3947861012515
533,557,0,1,0, ,9/9/9999 12:00:00 AM,0,Active,Storm,TB-037,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1161595990344,42.3949286711004
534,558,0,1,0, ,9/9/9999 12:00:00 AM,0,Active,Storm,TB-038,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1046467402121,42.390486696334
535,559,0,1,0, ,5/1/1980 12:00:00 AM,0,Proposed,Storm,TB-038,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1046921417778,42.3904201519537
536,560,0,1,0, ,5/1/1980 12:00:00 AM,0,Proposed,Storm,TB-038,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1064695383941,42.3910765329343
537,561,0,1,0, ,5/1/1980 12:00:00 AM,0,Proposed,Storm,TB-038,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1064196181395,42.3911463914808
538,562,0,1,0, ,9/9/9999 12:00:00 AM,0,Active,Storm,TB-038,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1070524745554,42.3913819895994
539,563,0,1,0, ,9/9/9999 12:00:00 AM,0,Active,Storm,TB-038,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.107115871709,42.3913155121374
540,564,0,1,0, ,9/9/9999 12:00:00 AM,0,Active,Storm,TB-039,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.116689166791,42.3941638794594
541,565,0,1,0, ,9/9/9999 12:00:00 AM,0,Active,Storm,TB-039,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1163141638727,42.3949553570827
542,566,0,1,1, ,11/1/1939 12:00:00 AM,0,Active,Storm,PF-32,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.123520063649,42.4045686156965
543,567,0,1,1, ,11/1/1939 12:00:00 AM,0,Active,Storm,PF-32,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1233113637812,42.4045535160284
544,568,0,1,1, ,9/9/9999 12:00:00 AM,0,Proposed,Storm,NA,Somerv, , ,9999,Unk,Unk,9999,9999,S.I.P. DRAWING,9999,-71.1230934180934,42.3957449833916
545,569,0,1,1, ,9/9/9999 12:00:00 AM,0,Active,Storm,I-93 PLAN,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.0954712070409,42.3997687025826
546,571,0,1,1, ,9/9/9999 12:00:00 AM,0,Active,Storm,I-93 PLAN,Somerv, ,"AREA HAS CHANGED, SEE I-93 PLANS",9999,Unk,Unk,9999,9999, ,7.4,-71.0905484168713,42.3977010802401
547,572,0,1,1, ,9/9/9999 12:00:00 AM,0,Active,Storm,I-93 PLAN,Somerv, ,"AREA HAS CHANGED, SEE I-93 PLANS",9999,Unk,Unk,9999,9999, ,5.7,-71.0911472513106,42.3975331328476
548,574,0,1,1, ,9/9/9999 12:00:00 AM,0,Active,Storm,I-93 PLAN,Somerv, ,"AREA HAS CHANGED, SEE I-93 PLANS",9999,Unk,Unk,9999,9999, ,5.7,-71.091060613956,42.3974635063672
549,575,0,1,1, ,9/9/9999 12:00:00 AM,0,Active,Storm,I-93 PLAN,Somerv, ,"AREA HAS CHANGED, SEE I-93 PLANS",9999,Unk,Unk,9999,9999, ,9999,-71.0904466852692,42.397777655009
550,576,0,1,1, ,9/9/9999 12:00:00 AM,0,Active,Storm,I-93 PLAN,Somerv, ,"AREA HAS CHANGED, SEE I-93 PLANS",9999,Unk,Unk,9999,9999, ,5.3,-71.0906263442698,42.397825936415
551,577,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,"DATA FROM SOMERVILLE HOUSING AUTHORITY, SHEET 7 OF 9",9999,Unk,Unk,9999,24.27, ,20.27,-71.0873136211997,42.3794057634715
552,578,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,"DATA FROM SOMERVILLE HOUSING AUTHORITY, SHEET 7 OF 9",9999,Unk,Unk,9999,24.27, ,20.27,-71.0874482175225,42.3793488474621
553,579,0,1,1, ,3/1/1957 12:00:00 AM,0,Proposed,Storm,NA,Somerv, ,"DATA FROM SOMERVILLE HOUSING AUTHORITY, SHEET 7 OF 9",9999,Unk,Unk,9999,21.3, ,18,-71.087998983173,42.3801071261571
