lon,lat,owner,watershed,type,form
-78.99338580982827,35.92466096224233,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.99337531288604,35.92457412389623,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.99293764345168,35.92470794106497,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.99291313018833,35.92462250292114,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.99239319332537,35.92465095968807,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.9923879162183,35.92473779713341,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.99163339255955,35.92460676308143,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.99162811463538,35.92469362796696,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.99335011644526,35.9245767598011,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.99341164807994,35.924657612102806,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.9929590909336,35.92470497536975,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.9554778273356,35.96065089878436,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.95545101813568,35.960614269836704,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.9552838183391,35.960625032390986,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.95525427413615,35.960584968492434,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.95389806984691,35.96076580165851,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.95291011535352,35.96075759534392,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.95288028094765,35.96075351809044,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.89734122760412,35.97651702723579,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.89754330458037,35.97637956677224,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.94971901403163,35.95899689908259,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.94967339456782,35.95916527912397,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.95085003486408,35.96018733200819,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.95285322898958,35.9609030336247,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.95288377338241,35.960906534262364,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.95384859381623,35.96095549937024,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.98579305811148,35.90143414543675,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.97691491947087,35.91109833021837,CITY-ROW,New Hope Creek,COMBO INLET,BOX
-78.98586479744927,35.90150376743678,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.98673373197785,35.90100494870331,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.98668765577973,35.90092390171249,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.98779571114822,35.900816218015564,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.98724649443905,35.90012755220279,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.98324663791593,35.9016010984548,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.98332197722581,35.90172346838798,CITY-ROW,Little Creek,COMBO INLET,BOX
-78.93394814429527,35.98280428193085,CITY-ROW,Sandy Creek,COMBO INLET,BOX
